,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
44,"Sleepy Owl Premium Instant Coffee Sachets | 96 gm - Pack of 48 Assorted Coffee Powder Sachets | 2g Each - Original, French...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61pt8-knI5L._AC_UL320_.jpg,https://www.amazon.in/Sleepy-Owl-Premium-Instant-Sachets/dp/B0BT7W84TL/ref=sr_1_1328?qid=1679216194&s=grocery&sr=1-1328,3.9,64,₹299,₹500
45,"Cadbury Silk Valentines Potli Gift Pack, 343 g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71R-oJjH5UL._AC_UL320_.jpg,https://www.amazon.in/Cadbury-Silk-Special-Potli-343g/dp/B08BVLRZBD/ref=sr_1_1329?qid=1679216194&s=grocery&sr=1-1329,4.3,"6,974",₹520,₹650
46,"Nature Prime 100% Natural Premium Mix Dry Fruits and Nuts 1 Kg [Almonds, Cashew, Kishmish, Apricot, Black Raisins,kiwi] Dr...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/41fnPBnX5UL._AC_UL320_.jpg,https://www.amazon.in/Nature-Prime-Natural-Premium-Kishmish/dp/B0BN1VK9CF/ref=sr_1_1330?qid=1679216194&s=grocery&sr=1-1330,4,158,₹749,"₹1,499"
47,Tur Dal Loose Selecta 1kg,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/81zDBFZ8OuL._AC_UL320_.jpg,https://www.amazon.in/More-Tur-Dal-Loose-500gm/dp/B07M5T6R3S/ref=sr_1_1331?qid=1679216194&s=grocery&sr=1-1331,4.2,"3,987",₹140,₹199
48,"Mccain Veggie Burger, 360 g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/81q6FAqIfvL._AC_UL320_.jpg,https://www.amazon.in/McCain-Veggie-Burger-360g/dp/B07FZZ6JYN/ref=sr_1_1332_f3_0g_fs?qid=1679216194&s=grocery&sr=1-1332,4.4,"1,993",₹114,₹135
49,Saffola Fittify Himalayan Apple Cider Vinegar with the Mother of Vinegar - 500 ml,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/712M02gShZL._AC_UL320_.jpg,https://www.amazon.in/Saffola-Fittify-Himalayan-Unfiltered-Unpasteurized/dp/B0B2RCMPTK/ref=sr_1_1333?qid=1679216194&s=grocery&sr=1-1333,4.1,632,₹150,₹299
50,"Patanjali Saundarya Aloe Vera Gel, 150ml",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71tdCqV6q3L._AC_UL320_.jpg,https://www.amazon.in/Patanjali-Saundarya-Aloe-Vera-150ml/dp/B071WRP912/ref=sr_1_1334?qid=1679216194&s=grocery&sr=1-1334,4.3,"4,205",₹88,₹100
51,"Brooke Bond Red Label Natural Care Tea, 250g Carton",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/51hdl9zEmGL._AC_UL320_.jpg,https://www.amazon.in/Brooke-Bond-Red-Label-250g/dp/B00FK9XT36/ref=sr_1_1335?qid=1679216194&s=grocery&sr=1-1335,4.4,"2,051",₹125,₹130
52,"Organic India Tulsi Original Tea, 25 Infusion Tea Bags ( 1 Bag x 1.74g Each )",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/51RqD74voHL._AC_UL320_.jpg,https://www.amazon.in/Organic-India-Tulsi-Original-Infusion/dp/B004UC5SEM/ref=sr_1_1336?qid=1679216194&s=grocery&sr=1-1336,4.5,"2,341",₹161,₹168
53,"Aashirvaad Sugar Release Control Atta, 1kg Pack, Low GI (Glycemic Index) Atta for Diabetics, A Blend of Whole Wheat, Pulse...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/81kcZpNNKNS._AC_UL320_.jpg,https://www.amazon.in/Aashirvaad-Sugar-Release-Control-Atta/dp/B01M8GWKN1/ref=sr_1_1337_f3_0g_fs?qid=1679216194&s=grocery&sr=1-1337,4.4,813,₹77,₹80
